,popolazione,percentuale
China,1010740000,70.8
India,833710000,61.6
United States,312320000,95.5
Indonesia,212354070,79.3
Brazil,160010801,76.4
Nigeria,136203231,69.5
Bangladesh,129180000,77.7
Russia,124000000,85.1
Pakistan,118800000,55.6
Japan,117400000,92.3
Mexico,92010000,71.3
Iran,78086663,95.5
Germany,77794405,93.6
Philippines,73003313,68.5
Turkey,69945905,84.9
Vietnam,68172134,71.4
United Kingdom,65001016,96.8
France,59470000,91.5
Egypt,54740141,55.6
South Korea,49421084,96.6
Spain,42400756,90.8
Thailand,54043108,77.8
Italy,50540000,83.4
Poland,34697848,91.5
Canada,33950632,91.6
Argentina,33561876,75.7
South Africa,31858027,55.1
Colombia,30548252,61.5
Saudi Arabia,27048861,80.3
Malaysia,25343685,80.4
Ukraine,31100000,70.3
Algeria,26350000,62.4
Morocco,22072765,61.3
Taiwan,21920626,92.4
Australia,21159515,85.0
Venezuela,20564451,71.2
Ethiopia,19543075,17.9
Iraq,18892351,49.2
Uzbekistan,16692456,51.4
Myanmar,16374103,30.5
Netherlands,15877494,93.1
Peru,15674241,49.0
Chile,14864456,79.4
Kazakhstan,13913699,75.9
Romania,12545558,64.3
Sudan,12512639,29.9
Ghana,15065541,50.6
Côte d'Ivoire,10650818,42.5
Uganda,10162807,23.8
Belgium,10021242,87.3
Sweden,9554907,95.8
Ecuador,9521056,55.7
Tanzania,30000000,53.3
United Arab Emirates,8913217,92.5
Kenya,8861485,17.2
Czech Republic,8358728,78.4
Switzerland,7942864,93.2
Greece,7923438,75.3
Azerbaijan,7763795,78.0
Austria,7681957,86.4
Portugal,7622142,74.3
Yemen,7548512,26.5
Hungary,7461297,76.9
Sri Lanka,7121116,33.5
Belarus,7048231,74.6
Democratic Republic of the Congo,7011507,8.3
Dominican Republic,6997472,65.8
Guatemala,11750000,68.1
Israel,6788737,81.0
"Hong Kong, China",6585678,89.3
Jordan,6480202,65.0
Tunisia,6400330,55.3
Nepal,27178000,96.7
Syria,6257430,36.9
Serbia,6182411,70.2
Mozambique,6162217,20.9
Cuba,5638956,49.7
Cameroon,5580465,22.1
Denmark,5407278,94.0
Cambodia,5441827,33.5
Norway,5120225,95.9
Bolivia,4843916,42.7
Finland,4831170,87.5
Singapore,4821119,83.7
Zambia,4760715,27.4
Lebanon,4755187,69.3
Senegal,4698108,29.6
Bulgaria,4492326,63.7
Zimbabwe,4472992,31.0
Slovakia,4446926,81.5
New Zealand,4273353,90.1
Angola,4271053,13.9
Paraguay,4160340,59.8
Afghanistan,4068194,10.9
Kuwait,4053797,98.0
Ireland,4024552,83.5
Oman,3717818,77.0
Costa Rica,3511549,70.2
Palestine,3208312,
Moldova,3083783,76.1
Burkina Faso,3047909,15.4
Honduras,2977793,31.1
Croatia,2811056,67.6
Puerto Rico (U.S.),2664928,87.7
Rwanda,2657770,21.6
Malawi,2566126,14.1
Qatar,2532059,91.0
Madagascar,2505948,9.5
Bosnia and Herzegovina,2320000,69.8
Panama,2371852,56.8
Georgia,3446533,86.1
Uruguay,2360269,68.4
Mali,2358540,12.4
Kyrgyzstan,2309235,36.6
Lithuania,2243448,80.1
Niger,2194985,9.8
Albania,2105339,73.0
Armenia,2043110,69.2
El Salvador,1993079,31.0
Tajikistan,1959127,21.5
Laos,1749517,24.8
Nicaragua,1732218,26.8
Slovenia,1640893,79.0
North Macedonia,1589659,76.3
Latvia,1585471,82.2
Benin,1578008,13.7
Guinea,1449758,11.7
Bahrain,1431090,91.2
Jamaica,1409888,48.0
Libya,1387116,20.8
Haiti,1353986,12.2
Turkmenistan,1223591,20.9
Estonia,1153786,87.2
Trinidad and Tobago,1058744,76.2
Gabon,1040000,49.1
South Sudan,1003542,9.1
Sierra Leone,1000575,13.1
Chad,968500,6.3
Togo,963795,12.2
Cyprus,952369,80.1
Botswana,948977,42.1
Namibia,933450,38.1
Papua New Guinea,924955,10.7
Mauritania,919398,20.9
Mongolia,729236,23.0
Mauritius,702911,55.5
Lesotho,665312,31.6
Burundi,607311,5.4
Luxembourg,570794,94.5
Djibouti,532849,55.6
"Macau, China",517789,82.0
Congo,455055,8.7
Fiji,452479,51.2
Montenegro,505055,80.4
Gambia,416753,18.3
Eswatini,414278,36.5
Brunei,406705,94.8
Bhutan,388541,51.5
Liberia,377607,7.8
East Timor,356356,28.1
Malta,344970,78.5
Bahamas,336057,87.1
Equatorial Guinea,332642,25.4
Iceland,329196,97.8
Cabo Verde,312315,57.4
Somalia,294851,2.0
Guyana,290375,37.3
Suriname,275785,47.9
Maldives,275717,53.5
Barbados,233604,81.5
New Caledonia,226557,80.9
French Polynesia,205746,74.1
Central African Republic,202204,4.3
Belize,176400,46.0
Guam,132221,79.8
Aruba (Netherlands),102285,96.6
Saint Lucia,90889,50.0
Antigua and Barbuda,77529,80.5
Andorra,76095,98.8
Guinea-Bissau,73148,3.9
Solomon Islands,72872,11.2
Saint Vincent and the Grenadines,72048,65.4
Vanuatu,71050,24.3
Comoros,69020,8.3
U.S. Virgin Islands,67535,64.5
Eritrea,66402,1.9
Samoa,66023,33.7
Grenada,63692,57.1
São Tomé and Príncipe,61155,29.0
Bermuda,60349,96.2
Seychelles,55677,57.3
Dominica,51467,71.9
Cayman Islands,49906,77.8
Faroe Islands,48097,99.2
Saint Kitts and Nevis,44669,85.2
Tonga,44558,43.2
Greenland,39242,69.4
Jersey,38958,
Monaco,37553,97.1
Micronesia,37257,33.1
Liechtenstein,37201,98.1
Gibraltar,32494,96.4
Marshall Islands,20560,35.2
San Marino,20100,59.5
Kiribati,16971,14.6
British Virgin Islands,14456,48.5
Anguilla,12043,81.8
Nauru,6475,60.7
Tuvalu,5520,48.0
"Saint Helena, Ascension and Tristan da Cunha",2906,48.2
Falkland Islands,2881,89.1
Montserrat,2833,56.7
Wallis and Futuna,1383,11.9
Niue,1034,63.8
